CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
8606081,FARMACIA NOSSO LAR,2,4771701,"4771703,4772500,4771702,5320202",RS,8841
8714665,,8,1521100,"1413401,1414200,1531901",RS,8841
20566671,,8,9492800,,RS,8841
9323919,PREST SERV,4,4744099,"4399103,4322301,4321500",RS,8841
9431050,,4,7020400,,RS,8841
3158774,,8,8511200,,RS,8841
10317883,,8,6920601,,RS,8841
9105421,,8,4781400,"4789001,4763601,4772500,4713002,4782202",RS,8841
10550842,SM SEGURANCA,4,8011101,,RS,8841
10702284,LA MARLI,2,4781400,"4782201,4782202,4783101,4789001",RS,8841
10879996,DINOSSAURO TRANSPORTES,4,4929904,"4924800,4929903",RS,8841
11081054,QUEROBIM'S,4,4619200,,RS,8841
11112037,,2,8219999,,RS,8841
10794617,LUIZ COELHO VENDAS - CAMOBI,8,6821801,"6810201,6821802",RS,8841
11239615,,8,4781400,"4755502,4755503,4759899,4789001",RS,8841
11244123,,2,4110700,"4120400,6810202",RS,8841
11349794,,2,5223100,"4723700,8230002",RS,8841
11435043,ELIMORE CONSTRUTORA,4,4744099,"4399103,4321500,4330404,4330499",RS,8841
11537204,,8,4321500,"4399103,4322301,4330404,4330405",RS,8841
11718998,CONSTRUCOES BUZZATTO,4,1622699,4120400,RS,8841
2667471,,8,4781400,"4782201,4755503",RS,8841
11756975,,8,2532201,,RS,8841
11945439,,8,4753900,"4759899,4520003,4751201,4757100,4530703,4752100,4520007,4781400",RS,8841
10660624,,2,5611203,4721104,RS,8841
12177359,,8,9492800,,RS,8841
12201124,SOARES FASHION,8,1412601,"1412602,1413403",RS,8841
12296787,ELIANA COLLEONI,2,9602502,,RS,8841
12327296,,4,9602501,9602502,RS,8841
12390851,SUL BOX,2,2542000,"4743100,2512800",RS,8841
12462465,CASA DE PAO DE QUEIJO,8,5611203,,RS,8841
11659194,SO BIJU COMERCIO DE BIJUTERIAS E ACESSORIOS LTDA,8,4789001,,RS,8841
12846834,MAMUTTE ENGENHARIA,4,4744001,"4744099,4399199,4110700,8121400,4744005,3101200,1622601,1622602,4299599,8020001,4120400",RS,8841
12867595,,8,4520002,4520007,RS,8841
20482775,I EHH O QUE RESTA,2,4723700,"4729601,4721104,4789099",RS,8841
12992887,DIASO DOTTO REPRESENTACOES,8,4618401,4617600,RS,8841
13025279,WEBNET,2,6190601,"2511000,4321500,4751201,4752100,4753900,9511800",RS,8841
13256340,INF CONSTRUCOES,4,4399103,"4399199,4330404,8129000,5611203,4781400",RS,8841
13322860,,4,4744099,"4744001,1622699,2599301,4399103,1091101,4744004,4744003",RS,8841
13453100,,4,1071600,"4729699,4721104,5612100,5620104",RS,8841
13481406,,8,9001906,"7739003,7729202,7319099,8230001,8230002",RS,8841
13501005,,8,4713002,"4729699,4723700,4762800,4721102,4744001,4782201,2063100,4789099,4781400,4712100,4789001,4724500,4763601",RS,8841
20484625,RUTE DESIGNER DE SOBRANCELHAS,2,9602502,,RS,8841
13874426,,8,4781400,,RS,8841
98248644,,8,4622200,"0163600,4683400",RS,8841
14056638,GRIFE BRINDES,2,4781400,4789099,RS,8841
