CNPJ 1,CNPJ 2,CNPJ 3,NOME FANTASIA,SITUACAO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
95607297,1,64,LOJA SIBRAMA,2,4751201,,RS,8841
1920682,1,13,,8,4751201,,RS,8841
3805906,1,71,HOP.COM.BR,4,4751201,,RS,8841
2126913,1,84,ROSSOFT COMERCIO E SISTEMAS,8,4751201,,RS,8841
7430268,1,2,SULTEC,4,4751201,,RS,8841
3894686,1,8,,4,4751201,,RS,8841
2511548,1,21,,2,4651601,"3312102,4321500,4322302,4651602,4663000,4665600,4742300,4744001,4751201,4752100,4753900,4754701,4756300,4757100,4759801,4759899,4761003,4763601,4763603,4789007,4789008,7733100,8020001,8599603,9511800,9512600",RS,8841
5922010,1,6,CLASSIC INFORMATICA,8,4751201,,RS,8841
47379565,88,46,,8,4751201,"6201501,9511800,6204000,7733100,7020400,6209100,6203100",RS,8841
1239283,1,91,LOGICA TREINAMENTO EM INFORMATICA,8,4751201,"4729699,4753900,8219999",RS,8841
6789829,1,0,INKPLUS,4,4751201,,RS,8841
87396693,3,23,,8,4751201,9511800,RS,8841
93109049,3,20,,4,4751201,,RS,8841
93359040,10,4,,2,4751201,"4752100,4754701,7490104",RS,8841
89685838,1,70,CHAVESINOS,4,4651601,4651602,RS,8841
91822171,1,51,DATA LABEL INFORMATICA,8,4751201,,RS,8841
7677442,1,16,DIDATICA INFORMATICA LTDA,2,4751201,8599603,RS,8841
7976227,1,16,KLINIKON CONSULTORIO TECNOLOGICO,2,4751201,"9511800,6209100",RS,8841
406500,1,28,,4,4751201,"4781400,4762800,4759899,4642701",RS,8841
804421,1,75,,2,4751201,,RS,8841
4959488,1,30,MUNDO CYBER,4,4751201,,RS,8841
5296815,1,83,,4,4751201,,RS,8841
977521,1,1,GLOBAL ASSESSORIA MATERIAIS E SERVICOS,8,4751201,,RS,8841
91142158,1,51,CONSTRUTORA ROSA,2,4751201,8219901,RS,8841
8311484,1,0,,8,4751201,,RS,8841
9187193,1,6,CONCEITTO SISTEMAS,2,4751201,"6209100,6201501,6202300,6203100,8599604,6399200,3321000,2790202,2869100",RS,8841
10750342,1,82,,8,4751201,"2640000,2621300,2622100,4752100",RS,8841
11406375,1,72,CIA DOS MONITORES,8,4751201,9511800,RS,8841
12328789,1,93,LENZ REFRIGERACAO E SISTEMA DE SEGURANCA,2,4751201,"4321500,4322302,4742300,4744001,4744099,4751202,4753900,4761003,4762800,6209100,9511800",RS,8841
13502875,1,33,SUL NORTE DISTRIBUIDORA,8,4751201,"4755503,4742300,4789099,4752100,4530703,4759899,4789007,4763604,4772500,4744001",RS,8841
13676084,1,20,RECICLE CARTUCHOS,4,4751201,9511800,RS,8841
11743769,1,16,,8,6202300,6201501,RS,8841
16656277,1,7,,8,4751201,,RS,8841
20136195,1,9,,2,4751201,"4789007,9511800,7733100,8219901",RS,8841
23201390,1,63,GM GAMES,8,4751201,4762800,RS,8841
26024878,1,50,RSTELECOM,8,4751201,"9511800,8599603,4752100,4321500,7319003,4751202",RS,8841
27208616,1,9,MANUTENCAO,4,4751201,,RS,8841
27899929,1,50,FIRST IMPORT,8,4751201,"4752100,4759899",RS,8841
30823699,1,50,VSS REPRESENTACOES,8,4751201,"5819100,9511800,6190699,7319003,7319002,4773300,4752100,4729699,3240099,8599604,8599603,4753900,4789007,4789004,4789005",RS,8841
30838325,1,9,CRIR,2,6202300,"3811400,7020400,8211300,8599699",RS,8841
31163510,1,3,D-PAMPA,2,4751201,"9512600,9511800,4753900,6190699,4754701,4752100,4321500,4759899,4789007",RS,8841
31576784,1,24,PIERIN.COM,2,6202300,"6203100,6204000,6209100,6311900,8211300,8291100",RS,8841
35489333,1,0,TECH 10 TECNOLOGIA E INFORMATICA,2,4751201,"9511800,6190699,7733100,9512600,4772500,3321000,4752100,9521500,4322302,4321500,4759899,4753900,4761003,4744001,4789007",RS,8841
37711573,1,33,SETLINE ACESSORIOS LTDA,8,4751201,"4752100,4789099,4753900,4754703,4789008,4785799,4756300,4789007,4757100",RS,8841
42053792,1,2,,8,4751201,"4772500,8592902,8230001,7420004,4752100,4781400,8599699,4759899,4755503,4763602,4763601,4753900,4782201,4789007,4789004",RS,8841
44759881,1,2,,2,6202300,"6204000,6209100",RS,8841
48259051,1,69,TSJPA TECNOLOGIA,2,6202300,"6203100,6201501",RS,8841
48283611,1,10,BRED CAPAS,2,4751201,"4752100,4757100,6190699,9512600",RS,8841
49185406,1,85,ELLO SYSTEN'S,2,4751201,4752100,RS,8841
